group	id	weight	day	dday	cday
1	1	120	0	0	-10
1	1		1	1	-9
1	1		2	2	-8
1	1	138	3	3	-7
1	1		4	4	-6
1	1		5	5	-5
1	1	258	6	6	-4
1	1		7	7	-3
1	1		8	8	-2
1	1	408	9	9	-1
1	1		10	10	0
1	1		11	11	1
1	1	549	12	12	2
1	1		13	13	3
1	1		14	14	4
1	1	659	15	15	5
1	1		16	16	6
1	1		17	17	7
1	1	642	18	18	8
1	1		19	19	9
1	1		20	20	10
1	2	150	0	0	-10
1	2		1	1	-9
1	2		2	2	-8
1	2	287	3	3	-7
1	2		4	4	-6
1	2		5	5	-5
1	2	475	6	6	-4
1	2		7	7	-3
1	2		8	8	-2
1	2	628	9	9	-1
1	2		10	10	0
1	2		11	11	1
1	2	800	12	12	2
1	2		13	13	3
1	2		14	14	4
1	2	894	15	15	5
1	2		16	16	6
1	2		17	17	7
1	2	941	18	18	8
1	2		19	19	9
1	2		20	20	10
1	3	151	0	0	-10
1	3		1	1	-9
1	3		2	2	-8
1	3	270	3	3	-7
1	3		4	4	-6
1	3		5	5	-5
1	3	452	6	6	-4
1	3		7	7	-3
1	3		8	8	-2
1	3	600	9	9	-1
1	3		10	10	0
1	3		11	11	1
1	3	663	12	12	2
1	3		13	13	3
1	3		14	14	4
1	3	800	15	15	5
1	3		16	16	6
1	3		17	17	7
1	3	954	18	18	8
1	3		19	19	9
1	3		20	20	10
1	4	127	0	0	-10
1	4		1	1	-9
1	4		2	2	-8
1	4	260	3	3	-7
1	4		4	4	-6
1	4		5	5	-5
1	4	459	6	6	-4
1	4		7	7	-3
1	4		8	8	-2
1	4	648	9	9	-1
1	4		10	10	0
1	4		11	11	1
1	4	802	12	12	2
1	4		13	13	3
1	4		14	14	4
1	4	902	15	15	5
1	4		16	16	6
1	4		17	17	7
1	4	1000	18	18	8
1	4		19	19	9
1	4		20	20	10
1	5	152	0	0	-10
1	5		1	1	-9
1	5		2	2	-8
1	5	242	3	3	-7
1	5		4	4	-6
1	5		5	5	-5
1	5	410	6	6	-4
1	5		7	7	-3
1	5		8	8	-2
1	5	570	9	9	-1
1	5		10	10	0
1	5		11	11	1
1	5	668	12	12	2
1	5		13	13	3
1	5		14	14	4
1	5	768	15	15	5
1	5		16	16	6
1	5		17	17	7
1	5	855	18	18	8
1	5		19	19	9
1	5		20	20	10
1	6	149	0	0	-10
1	6		1	1	-9
1	6		2	2	-8
1	6	240	3	3	-7
1	6		4	4	-6
1	6		5	5	-5
1	6	402	6	6	-4
1	6		7	7	-3
1	6		8	8	-2
1	6	573	9	9	-1
1	6		10	10	0
1	6		11	11	1
1	6	742	12	12	2
1	6		13	13	3
1	6		14	14	4
1	6	870	15	15	5
1	6		16	16	6
1	6		17	17	7
1	6	855	18	18	8
1	6		19	19	9
1	6		20	20	10
1	7	141	0	0	-10
1	7		1	1	-9
